[DEBUG] 2020-04-24 23:40:50.835 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-24 23:40:50.855 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-24 23:40:50.914 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-24 23:40:51.307 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-24 23:40:51.311 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-24 23:40:51.982 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-24 23:40:52.531 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-24 23:40:52.573 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-24 23:40:52.578 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-24 23:40:52.624 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-24 23:40:52.688 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17b6d426
[DEBUG] 2020-04-24 23:40:52.688 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17b6d426
[DEBUG] 2020-04-24 23:40:52.688 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@17b6d426
[DEBUG] 2020-04-24 23:40:52.689 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@46a953cf
[DEBUG] 2020-04-24 23:40:52.689 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2c58dcb1
[DEBUG] 2020-04-24 23:40:52.691 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2dd8239
[DEBUG] 2020-04-24 23:40:52.692 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@cf67838
[DEBUG] 2020-04-24 23:40:52.692 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@cf67838
[DEBUG] 2020-04-24 23:40:52.695 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@cf67838
[DEBUG] 2020-04-24 23:40:52.696 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@499ef98e
[DEBUG] 2020-04-24 23:40:52.696 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@499ef98e
[DEBUG] 2020-04-24 23:40:52.698 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@499ef98e
[DEBUG] 2020-04-24 23:40:52.701 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@639aba11
