[DEBUG] 2020-04-29 16:03:21.378 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-29 16:03:21.396 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-29 16:03:21.424 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-29 16:03:21.631 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-29 16:03:21.635 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-29 16:03:22.212 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-29 16:03:22.779 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-29 16:03:22.815 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-29 16:03:22.817 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-29 16:03:22.866 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-29 16:03:23.007 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5580d62f
[DEBUG] 2020-04-29 16:03:23.012 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5580d62f
[DEBUG] 2020-04-29 16:03:23.013 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5580d62f
[DEBUG] 2020-04-29 16:03:23.013 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@154bd49b
[DEBUG] 2020-04-29 16:03:23.013 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@67fc2aad
[DEBUG] 2020-04-29 16:03:23.016 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@472698d
[DEBUG] 2020-04-29 16:03:23.017 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6137cf6e
[DEBUG] 2020-04-29 16:03:23.017 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6137cf6e
[DEBUG] 2020-04-29 16:03:23.017 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6137cf6e
[DEBUG] 2020-04-29 16:03:23.018 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@24934262
[DEBUG] 2020-04-29 16:03:23.021 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@24934262
[DEBUG] 2020-04-29 16:03:23.024 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@24934262
[DEBUG] 2020-04-29 16:03:23.029 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@341672e
[DEBUG] 2020-04-29 16:03:23.029 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@341672e
[DEBUG] 2020-04-29 16:03:23.030 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@341672e
[DEBUG] 2020-04-29 16:03:23.030 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4554de02
[DEBUG] 2020-04-29 16:03:23.033 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4554de02
[DEBUG] 2020-04-29 16:03:23.033 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4554de02
[DEBUG] 2020-04-29 16:03:23.034 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@58496c97
[DEBUG] 2020-04-29 16:03:23.034 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@58496c97
[DEBUG] 2020-04-29 16:03:23.034 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@58496c97
[DEBUG] 2020-04-29 16:03:23.035 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6ecab872
[DEBUG] 2020-04-29 16:03:23.035 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6ecab872
[DEBUG] 2020-04-29 16:03:23.035 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6ecab872
[DEBUG] 2020-04-29 16:03:23.037 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6d025d1d
[DEBUG] 2020-04-29 16:03:23.037 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6d025d1d
[DEBUG] 2020-04-29 16:03:23.037 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6d025d1d
[DEBUG] 2020-04-29 16:03:23.038 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7479b626
[DEBUG] 2020-04-29 16:03:23.038 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7479b626
[DEBUG] 2020-04-29 16:03:23.038 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@17a703f5
[DEBUG] 2020-04-29 16:03:23.039 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@17a703f5
[DEBUG] 2020-04-29 16:03:23.039 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@65f2f9b0
[DEBUG] 2020-04-29 16:03:23.039 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@65f2f9b0
[DEBUG] 2020-04-29 16:03:23.039 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5e671e20
[DEBUG] 2020-04-29 16:03:23.040 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5e8cda75
[DEBUG] 2020-04-29 16:03:23.046 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@222afc67
[DEBUG] 2020-04-29 16:03:23.046 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@222afc67
[DEBUG] 2020-04-29 16:03:23.047 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3ae9d1e2
[DEBUG] 2020-04-29 16:03:23.047 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3ae9d1e2
